,GENDER,AGE_GRP,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_MOTIVE_1,TRAVEL_COMPANIONS_NUM,TRAVEL_MISSION_INT,VISIT_AREA_NM,DGSTFN
560,남,30.0,2,4,2,4,2,3,2,5,7,0.0,2,진미통닭,4.0
561,남,30.0,6,6,6,2,2,6,2,3,1,5.0,25,베이커리 씨어터 수목원,3.0
564,여,20.0,7,1,1,3,7,7,3,6,7,0.0,1,도산맘마,5.0
566,여,50.0,1,1,7,1,1,1,7,1,4,0.0,13,흑석시장,5.0
567,여,20.0,4,4,3,3,2,4,2,7,6,2.0,23,힐튼가든인 서울강남점,5.0
569,여,20.0,1,1,1,1,1,1,1,1,1,0.0,22,콤콤오락실,5.0
571,남,50.0,2,4,2,4,6,4,2,6,3,1.0,3,장안통닭,5.0
573,남,30.0,7,1,6,1,1,4,5,6,1,0.0,22,파크하얏트 서울,5.0
576,여,30.0,2,2,2,3,4,2,3,7,2,4.0,21,고석정,4.0
577,여,30.0,2,3,3,2,4,3,3,6,1,1.0,6,다만프레르 SFC점,4.0
578,남,20.0,6,1,3,6,5,6,1,7,1,0.0,4,동대문 문구완구시장,5.0
579,여,30.0,2,2,2,6,2,2,2,7,3,3.0,2,신세계백화점 강남점,4.0
580,남,20.0,7,1,1,2,2,1,1,1,9,1.0,9,하남돼지집 대학로점,4.0
582,여,20.0,2,3,1,1,4,5,2,7,7,1.0,22,양산주유소,4.0
584,여,40.0,4,7,3,6,3,6,6,4,3,1.0,24,빈솔트,3.0
586,여,30.0,5,1,2,2,2,3,6,6,1,3.0,23,남한산성둘레길 2코스,5.0
587,여,30.0,2,1,1,4,4,1,1,7,3,1.0,8,자라섬,5.0
588,여,30.0,4,4,2,1,4,6,5,3,2,0.0,3,수원화성 화홍문 안내소,3.0
589,여,20.0,4,1,1,3,6,4,1,6,1,3.0,22,연세대학교 신촌캠퍼스,3.0
